COTS Surveillance Id,Tow time,Vessel,Voyage,Reef label,Reef name,Start lat,Start long,End lat,End long,Distance (metres),Average speed (km/h),COTS observed,Feeding scars,Hard coral,Soft coral,Dead coral,Created on,Created by,Updated on,Updated by
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-15.0161932,145.6982785,-15.0149502,145.6991853,185.1,5.62,0,p,3-,2+,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-15.0147069,145.6993468,-15.0133099,145.699955,177.8,5.36,0,p,3+,3-,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-15.0132138,145.7001273,-15.0116851,145.7006927,194.9,5.87,0,a,2+,2+,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-15.0132138,145.7001273,-15.0116851,145.7006927,194.9,5.87,0,a,2+,2+,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-15.0103627,145.7016034,-15.0088349,145.7020276,191.9,5.8,0,a,2-,1+,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-15.0103627,145.7016034,-15.0088349,145.7020276,191.9,5.8,0,a,2-,1+,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-15.0103627,145.7016034,-15.0088349,145.7020276,191.9,5.8,0,a,2-,1+,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-15.0103627,145.7016034,-15.0088349,145.7020276,191.9,5.8,0,a,2-,1+,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-15.0041414,145.7041031,-15.0030977,145.7051931,174.5,5.29,0,a,2-,1+,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-15.0029503,145.7052741,-15.0012943,145.7055562,195,5.87,0,a,1+,1-,0,7/07/2022,TAYLORS,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-15.001151,145.7056191,-15.0000055,145.7065384,167.6,5.04,0,a,1+,1-,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-14.9998477,145.706673,-14.9982508,145.7070501,191.6,5.8,0,a,2+,1+,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-14.9981245,145.7072101,-14.9968949,145.708114,202.2,6.12,0,a,2-,1-,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-14.9967977,145.7081612,-14.9954042,145.7089295,187.3,5.72,0,a,2+,1+,0,7/07/2022,TAYLORS,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-14.9952852,145.7089888,-14.9936887,145.7086466,a,6.19,0,a,1+,1-,0,7/07/2022,TAYLORS,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-14.9935647,145.7086488,-14.9931617,145.7096694,a,4.36,0,a,1+,1+,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-14.993031,145.7098114,-14.9911925,145.710254,a,6.59,0,a,1+,1-,0,7/07/2022,TAYLORS,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-14.9910294,145.7101991,-14.9896332,145.7105147,176.5,5.33,0,a,1-,1-,0,7/07/2022,TAYLORS,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-14.9569694,145.7032897,-14.9579384,145.7027883,184.8,5.58,0,a,3+,0,0,7/07/2022,TAYLORS,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-14.9582009,145.7024678,-14.9592209,145.7024583,146,4.43,0,a,3-,1+,0,7/07/2022,TAYLORS,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-14.9593668,145.7022623,-14.9605887,145.7027126,164.2,4.93,0,a,3+,1-,0,7/07/2022,TAYLORS,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-14.9609689,145.7026698,-14.9623379,145.7026059,172.9,5.22,0,a,2-,1-,0,7/07/2022,TAYLORS,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-14.9624019,145.7025014,-14.9635896,145.7029387,150.8,4.57,0,a,2-,1-,0,7/07/2022,TAYLORS,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-14.9638215,145.7028551,-14.9651679,145.7032725,185.5,5.62,0,a,2+,0,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-14.9652064,145.7029308,-14.9665337,145.7029192,178.7,5.4,0,a,3-,1-,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-14.9666141,145.7028206,-14.9679106,145.7027672,169,5.11,0,a,2+,1-,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-14.9679989,145.702851,-14.9692677,145.7028152,174.6,5.29,0,a,3-,0,0,18/07/2022,DATA_MIGRATION,,
,1/08/2022,Hero,999,15-085,Big Bitty Reef,-15.9679989,145.702851,-14.9692677,145.7029192,178.7,5.4,0,a,3-,1-,0,18/07/2022,DATA_MIGRATION,,
,1/08/2022,Hero,999,15-085,Big Bitty Reef,-15.9679989,145.702851,-14.9692677,145.7027672,169,5.11,0,a,2+,1-,0,18/07/2022,DATA_MIGRATION,,
,1/08/2022,Hero,999,15-085,Big Bitty Reef,-15.9679989,145.702851,-14.9692677,145.7028152,174.6,5.29,0,a,3-,0,0,18/07/2022,DATA_MIGRATION,,
,1/08/2022,Venus,1000,11sdf2,Massive Bitty Reef,-15.9679989,145.702851,-14.9692677,145.7029192,178.7,5.4,0,a,3-,1-,0,18/07/2022,DATA_MIGRATION,,
,1/08/2022,Venus,1000,15-085,Massive Bitty Reef,,,,,169,5.11,0,a,2+,1-,0,18/07/2022,DATA_MIGRATION,,
,1/08/2022,Venus,1000,15-085,Massive Bitty Reef,-15.9679989,145.702851,-14.9692677,145.7028152,174.6,5.29,0,a,3-,0,0,18/07/2022,DATA_MIGRATION,,
,1/08/2022,Venus,1000,15-085,Massive Bitty Reef,-15.9679989,145.702851,-14.9692677,145.7029192,178.7,5.4,0,a,-3,1-,0,18/07/2022,DATA_MIGRATION,,
,1/08/2022,Venus,1000,15-085,Massive Bitty Reef,-15.9679989,145.702851,-14.9692677,145.7027672,169,5.11,0,g,2+,1-,0,18/07/2022,DATA_MIGRATION,,
,1/08/2022,Venus,1000,15-085,Massive Bitty Reef,-15.9679989,145.702851,-14.9692677,145.7028152,174.6,5.29,0,a,3-,0,a,18/07/2022,DATA_MIGRATION,,
,,Venus,1000,15-085,Massive Bitty Reef,-15.9679989,145.702851,-14.9692677,145.7029192,178.7,5.4,0,a,3-,1-,0,18/07/2022,DATA_MIGRATION,,
,1/08/2022,Venus,,15-085,Massive Bitty Reef,-15.9679989,145.702851,-14.9692677,145.7027672,169,5.11,0,a,2+,1-,0,18/07/2022,DATA_MIGRATION,,
,1/08/2022,Venus,1000,15-085,Massive Bitty Reef,-15.9679989,145.702851,-14.9692677,145.7028152,174.6,5.29,0,a,3-,0,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-15.019102,145.6967644,-15.017562,145.6971029,187.6,5.65,0,p,3+,2+,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-15.0174441,145.6972353,-15.0163588,145.6983338,179.4,5.4,0,k,2+,2-,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-15.0132138,145.7001273,-15.0116851,145.7006927,194.9,5.87,0,a,2+,2+,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-15.0132138,145.7001273,-15.0116851,145.7006927,194.9,5.87,0,a,2+,2+,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-15.0132138,145.7001273,-15.0116851,145.7006927,194.9,5.87,0,a,2+,2+,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,DINO,-15.0132138,145.7001273,-15.0116851,145.7006927,194.9,5.87,0,a,2+,2+,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,DINO,-15.0132138,145.7001273,-15.0116851,145.7006927,194.9,5.87,0,a,2+,2+,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,CHICKEN,FISHBOAT,14-154,PINK,-15.0132138,145.7001273,-15.0116851,145.7006927,194.9,5.87,0,a,2+,2+,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,CHICKEN,FISHBOAT,14-154,PINK,-15.0132138,145.7001273,-15.0116851,145.7006927,194.9,5.87,0,a,2+,2+,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,CHICKEN,FISHBOAT,14-154,PINK,-15.0132138,145.7001273,-15.0116851,145.7006927,194.9,5.87,0,a,2+,2+,0,18/07/2022,DATA_MIGRATION,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
